<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
POLY;D;20130620;000000;292.6000000;300.0000000;244.5500000;278.2300000;4180
POLY;D;20130621;000000;277.6000000;279.9000000;260.5000000;262.3800000;4930
POLY;D;20130624;000000;265.8600000;265.8600000;254.0000000;254.5000000;6658
POLY;D;20130625;000000;251.1900000;255.9400000;244.9500000;252.1700000;5569
POLY;D;20130626;000000;247.3200000;248.5100000;236.4300000;237.0700000;11800
POLY;D;20130627;000000;238.0000000;238.0000000;222.2200000;228.6000000;13385
POLY;D;20130628;000000;228.0800000;231.2600000;220.0000000;224.9000000;19738
POLY;D;20130701;000000;227.0200000;242.8400000;227.0200000;240.4700000;20694
POLY;D;20130702;000000;240.6100000;256.9300000;240.6100000;249.3400000;17474
POLY;D;20130703;000000;248.1700000;250.0000000;235.0600000;244.7100000;21090
POLY;D;20130704;000000;235.3000000;252.9300000;235.3000000;251.5800000;5430
POLY;D;20130705;000000;251.0000000;253.1600000;237.5000000;242.5000000;8634
POLY;D;20130708;000000;238.0000000;241.8000000;230.0900000;236.0000000;34603
POLY;D;20130709;000000;237.0100000;242.3900000;234.7300000;238.3800000;48874
POLY;D;20130710;000000;238.8600000;244.1000000;234.2200000;235.0000000;17799
POLY;D;20130711;000000;237.0100000;260.0000000;236.7300000;256.0000000;62984
POLY;D;20130712;000000;257.8100000;258.2000000;250.2600000;251.6200000;6996
POLY;D;20130715;000000;250.0100000;254.7600000;249.3700000;253.8500000;5710
POLY;D;20130716;000000;254.1100000;265.9800000;253.8300000;265.0400000;5143
POLY;D;20130717;000000;270.4800000;284.0900000;258.0200000;283.8100000;15210
POLY;D;20130718;000000;281.3100000;289.9600000;272.0900000;283.8900000;24336
POLY;D;20130719;000000;287.5000000;303.4500000;281.6400000;303.4500000;8319
POLY;D;20130722;000000;300.8900000;313.6200000;297.0000000;313.6200000;7676
POLY;D;20130723;000000;311.6600000;325.0000000;310.0000000;325.0000000;28964
POLY;D;20130724;000000;322.0600000;322.0600000;314.0400000;315.3200000;14512
POLY;D;20130725;000000;311.0000000;313.4600000;300.9900000;311.9100000;2866
POLY;D;20130726;000000;311.9200000;323.8500000;311.9200000;317.1500000;12575
POLY;D;20130729;000000;317.9300000;321.8900000;312.1600000;320.1500000;87491
POLY;D;20130730;000000;318.8100000;322.0000000;314.9200000;321.2000000;16464
POLY;D;20130731;000000;325.0300000;325.0300000;320.6800000;322.5500000;7930
POLY;D;20130801;000000;320.7300000;345.6600000;320.7300000;339.9300000;8391
POLY;D;20130802;000000;333.0000000;338.9000000;321.6500000;336.0900000;2121
POLY;D;20130805;000000;335.1700000;335.3200000;329.8900000;333.5000000;2595
POLY;D;20130806;000000;335.0000000;335.0000000;321.2000000;321.5000000;1208
POLY;D;20130807;000000;322.0000000;332.3900000;317.0200000;329.8900000;6014
POLY;D;20130808;000000;333.0000000;359.9900000;333.0000000;355.7500000;4853
POLY;D;20130809;000000;355.5500000;367.9900000;352.2700000;367.0600000;3861
POLY;D;20130812;000000;476.0000000;476.0000000;365.9800000;375.0000000;4041
POLY;D;20130813;000000;379.9900000;387.9200000;373.2000000;383.0500000;3805
POLY;D;20130814;000000;387.5200000;387.5200000;377.4600000;382.1900000;2806
POLY;D;20130815;000000;285.0000000;383.0000000;285.0000000;370.0000000;2710
POLY;D;20130816;000000;380.0000000;401.9900000;371.7800000;397.8900000;14294
POLY;D;20130819;000000;401.3000000;402.9100000;394.0000000;399.4100000;12192
POLY;D;20130820;000000;404.7600000;410.3700000;391.0000000;408.8900000;4880
POLY;D;20130821;000000;405.0000000;411.9900000;349.0000000;409.8800000;6528
POLY;D;20130822;000000;407.0000000;417.8500000;406.3300000;414.1600000;4971
POLY;D;20130823;000000;413.0100000;418.4100000;406.5000000;413.8700000;1908
POLY;D;20130826;000000;413.7600000;415.1600000;410.8000000;415.1600000;1561
POLY;D;20130827;000000;415.2800000;418.1600000;380.0000000;382.4500000;13127
POLY;D;20130828;000000;381.4100000;390.0000000;347.0200000;363.5000000;28335
POLY;D;20130829;000000;360.7600000;389.2900000;350.4000000;384.1100000;17176
POLY;D;20130830;000000;380.0000000;397.6000000;365.4600000;392.5000000;15990
POLY;D;20130902;000000;389.4900000;395.2000000;382.0800000;389.9500000;6574
POLY;D;20130903;000000;385.6000000;385.6000000;376.7900000;381.9000000;6430
POLY;D;20130904;000000;384.9000000;394.8800000;382.1100000;392.8000000;7587
POLY;D;20130905;000000;387.8700000;394.6000000;387.8700000;391.4000000;4125
POLY;D;20130906;000000;389.0000000;402.0000000;380.0100000;398.0000000;17583
POLY;D;20130909;000000;398.4900000;406.9400000;396.5500000;399.9300000;302
POLY;D;20130910;000000;397.0000000;401.1000000;388.0000000;393.5700000;2731
POLY;D;20130911;000000;391.3400000;394.0000000;380.0000000;387.5000000;3321
POLY;D;20130912;000000;385.0000000;386.9900000;377.7300000;383.4000000;5476
POLY;D;20130913;000000;381.6000000;383.0000000;363.0000000;363.0000000;9336
POLY;D;20130916;000000;365.0000000;368.2000000;335.1700000;344.5000000;32911
POLY;D;20130917;000000;344.0600000;346.9700000;335.0600000;340.0000000;44614
POLY;D;20130918;000000;337.9200000;352.0000000;336.1800000;344.1800000;43734
POLY;D;20130919;000000;347.2000000;395.0000000;337.5000000;374.4000000;45663
POLY;D;20130920;000000;370.6600000;374.0000000;345.3700000;348.1600000;25228
POLY;D;20130923;000000;345.7000000;345.7000000;333.5700000;339.5800000;15666
POLY;D;20130924;000000;336.9200000;357.3400000;332.6000000;347.8100000;33691
POLY;D;20130925;000000;346.8900000;347.5100000;336.1500000;344.9500000;23705
POLY;D;20130926;000000;342.9800000;354.7500000;342.9800000;354.3000000;27036
POLY;D;20130927;000000;354.9900000;357.5100000;345.3000000;350.9900000;12086
POLY;D;20130930;000000;352.0000000;354.0000000;339.9400000;344.0000000;21364
POLY;D;20131001;000000;339.7200000;344.8300000;339.3600000;343.5000000;29190
POLY;D;20131002;000000;340.8000000;340.8000000;330.0000000;331.0000000;34976
POLY;D;20131003;000000;334.6000000;362.3700000;323.5000000;323.5000000;32204
POLY;D;20131004;000000;326.6900000;326.8100000;317.5600000;326.0000000;19056
POLY;D;20131007;000000;321.4500000;327.0000000;317.5900000;317.9500000;13388
POLY;D;20131008;000000;318.0000000;321.0000000;311.0000000;320.0000000;26533
POLY;D;20131009;000000;316.7800000;319.9700000;311.0000000;318.0000000;27034
POLY;D;20131010;000000;316.0000000;317.0100000;308.3000000;316.1600000;29896
POLY;D;20131011;000000;317.2000000;317.2000000;300.0000000;301.9900000;45872
POLY;D;20131014;000000;299.8000000;309.9900000;287.4600000;309.0900000;27609
POLY;D;20131015;000000;310.0000000;321.4000000;284.6000000;285.0000000;133746
POLY;D;20131016;000000;285.0000000;287.9900000;271.0200000;274.9400000;121321
POLY;D;20131017;000000;274.0000000;293.7000000;269.3800000;285.0000000;91954
POLY;D;20131018;000000;285.1500000;312.4000000;285.1500000;308.5200000;99914
POLY;D;20131021;000000;309.0000000;319.8900000;307.0100000;307.8000000;48157
POLY;D;20131022;000000;309.9000000;314.0000000;301.6000000;314.0000000;33500
POLY;D;20131023;000000;314.0000000;316.7300000;307.5900000;309.0100000;21472
POLY;D;20131024;000000;307.5000000;312.0000000;305.7900000;309.4700000;7229
POLY;D;20131025;000000;309.5000000;321.5000000;307.1000000;312.9200000;24220
POLY;D;20131028;000000;313.1000000;321.7000000;310.0100000;315.2000000;13390
POLY;D;20131029;000000;316.1700000;321.2000000;313.0000000;317.2400000;21121
POLY;D;20131030;000000;318.0000000;318.2300000;312.6300000;317.2000000;13137
POLY;D;20131031;000000;316.9300000;318.0000000;308.0000000;308.0200000;25918
POLY;D;20131101;000000;309.0200000;310.9000000;293.8000000;293.8000000;34398
POLY;D;20131105;000000;295.8000000;309.0000000;293.7500000;305.7200000;64689
